iso3,country,hdicode,ihdi_2011,ihdi_2012,ihdi_2013,ihdi_2014,ihdi_2015,ihdi_2016,ihdi_2017,ihdi_2018,ihdi_2019,ihdi_2020,ihdi_2021
AFG,Afghanistan,Low,0.315,0.323,,,,,,,,,
AGO,Angola,Medium,,,,,0.395,0.407,0.409,0.41,0.41,0.409,0.407
ALB,Albania,High,0.669,0.696,0.704,0.711,0.714,0.717,0.72,0.72,0.724,0.709,0.71
AND,Andorra,Very High,,,,,,,,,,,
ARE,United Arab Emirates,Very High,,,,,,,,,,,
ARG,Argentina,Very High,0.714,0.721,0.724,0.725,0.731,0.725,0.733,0.732,0.729,0.718,0.72
ARM,Armenia,High,0.678,0.684,0.689,0.694,0.697,0.689,0.694,0.697,0.704,0.686,0.688
ATG,Antigua and Barbuda,High,,,,,,,,,,,
AUS,Australia,Very High,0.85,0.854,0.851,0.855,0.857,0.861,0.861,0.865,0.864,0.872,0.876
AUT,Austria,Very High,0.84,0.836,0.833,0.846,0.849,0.85,0.846,0.856,0.857,0.849,0.851
AZE,Azerbaijan,High,0.653,0.659,0.668,0.674,0.679,0.682,0.687,0.693,0.698,0.668,0.685
BDI,Burundi,Low,0.285,0.296,0.302,0.307,0.309,0.312,0.3,0.3,0.303,0.301,0.302
BEL,Belgium,Very High,0.836,0.836,0.843,0.843,0.85,0.852,0.86,0.861,0.865,0.867,0.874
BEN,Benin,Low,0.311,0.318,0.326,0.33,0.334,0.335,0.333,0.334,0.335,0.333,0.334
BFA,Burkina Faso,Low,0.275,0.284,0.29,0.279,0.287,0.295,0.303,0.312,0.315,0.314,0.315
BGD,Bangladesh,Medium,0.393,0.402,0.405,0.438,0.453,0.462,0.471,0.488,0.489,0.498,0.503
BGR,Bulgaria,High,0.709,0.717,0.722,0.717,0.715,0.713,0.708,0.716,0.718,0.707,0.701
BHR,Bahrain,Very High,,,,,,,,,,,
BHS,Bahamas,Very High,,,,,,,,,,,
BIH,Bosnia and Herzegovina,High,0.627,0.629,0.634,0.641,0.643,0.662,0.664,0.673,0.679,0.678,0.677
BLR,Belarus,Very High,,0.754,0.756,0.76,0.76,0.762,0.766,0.768,0.773,0.764,0.765
BLZ,Belize,Medium,0.549,0.552,0.552,0.55,0.553,0.557,0.554,0.554,0.554,0.54,0.535
BOL,Bolivia (Plurinational State of),Medium,0.494,0.498,0.505,0.508,0.516,0.529,0.538,0.555,0.566,0.55,0.549
BRA,Brazil,High,0.54,0.549,0.568,0.577,0.577,0.572,0.578,0.582,0.586,0.579,0.576
