iso3,country,HDI_Code,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021
AFG,Afghanistan,Low,61.4191,61.923,62.4167,62.5451,62.6587,63.1361,63.016,63.081,63.5645,62.5751,61.9824
AGO,Angola,Medium,57.5961,58.6231,59.3074,60.0397,60.6546,61.0923,61.6798,62.1438,62.4484,62.2612,61.6434
ALB,Albania,High,78.0919,78.064,78.1226,78.4075,78.6441,78.8602,79.0473,79.1838,79.2825,76.9893,76.4626
AND,Andorra,Very High,82.8975,82.9166,82.9343,82.9483,82.9534,82.9671,82.9803,82.9923,83.0039,79.0234,80.3684
ARE,United Arab Emirates,Very High,78.5168,78.7155,78.8528,79.0442,79.2232,79.3347,79.5036,79.6274,79.7262,78.9457,78.7104
ARG,Argentina,Very High,76.124,76.4669,76.4908,76.7549,76.7602,76.3077,76.833,76.9994,77.2845,75.8921,75.3899
ARM,Armenia,High,73.3045,73.454,73.6759,74.0577,74.4361,74.6639,74.9059,75.0645,75.4386,72.173,72.0431
ATG,Antigua and Barbuda,High,77.1038,77.3502,77.5834,77.8577,77.9127,78.1516,78.2683,78.5112,78.6912,78.8406,78.4968
AUS,Australia,Very High,82.1336,82.3456,82.6041,82.5677,82.6552,82.8707,83.0006,83.3871,83.11,84.3239,84.5265
AUT,Austria,Very High,80.8285,80.841,81.0783,81.3903,81.1594,81.5925,81.6391,81.6862,81.9077,81.5036,81.5797
AZE,Azerbaijan,High,69.9835,70.3598,70.8814,71.1163,71.4512,72.0039,72.2478,72.7601,73.1023,66.8679,69.3658
BDI,Burundi,Low,57.7692,58.4927,59.2346,59.8684,60.2172,60.7931,61.5526,61.6884,62.3514,61.5663,61.6627
BEL,Belgium,Very High,80.3649,80.2607,80.468,81.0811,80.8898,81.2661,81.3618,81.4787,81.8311,80.7884,81.8787
BEN,Benin,Low,58.4624,58.7159,58.9654,59.1249,59.3771,59.5394,59.8558,60.1403,60.4537,60.088,59.821
BFA,Burkina Faso,Low,57.1246,57.6187,57.8234,58.3589,58.8454,59.3262,59.5361,60.0466,60.0391,59.7306,59.2696
BGD,Bangladesh,Medium,68.8094,69.554,69.5646,69.9856,70.4913,71.09,71.7879,72.5675,72.8057,71.9678,72.3811
BGR,Bulgaria,High,74.1895,74.3572,74.8489,74.4824,74.6325,74.8336,74.7992,74.8983,75.0624,73.6453,71.798
BHR,Bahrain,Very High,78.8902,79.0813,79.2463,79.3278,79.4046,79.5569,79.689,79.8566,80.0186,79.1735,78.7605
BHS,Bahamas,Very High,72.5638,72.7528,73.0237,73.3658,73.104,73.5368,73.6317,73.8057,71.205,72.6766,71.5983
BIH,Bosnia and Herzegovina,High,77.0069,77.1914,76.3304,75.6586,76.1819,76.8083,76.9349,77.0926,77.2412,76.2254,75.3003
BLR,Belarus,Very High,71.5165,72.6137,72.9891,73.5849,73.9874,74.258,74.4519,74.5676,74.216,72.5132,72.438
BLZ,Belize,Medium,72.6512,73.245,73.6661,73.3107,73.1866,73.3988,73.5624,73.7031,73.9313,72.854,70.4697
