iso3,country,HDI_Code,GII_Rank,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)","Adolescent Birth Rate (births per 1,000 women ages 15-19)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)","Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older"
AFG,Afghanistan,Low,167.0,0.678,638.0,82.565,6.395730019,14.86571026,27.21518987,72.78481013,14.848,66.515
AGO,Angola,Medium,136.0,0.537,241.0,138.402,28.1639,51.54617,29.54545455,70.45454545,73.968,79.071
ALB,Albania,High,39.0,0.144,15.0,14.517,95.38750547,93.03841453,35.71428571,64.28571429,50.733,66.154
AND,Andorra,Very High,,,,5.887,70.66585436,72.42209721,46.42857143,53.57142857,,
ARE,United Arab Emirates,Very High,11.0,0.049,3.0,3.085,81.99700165,85.59674072,50.0,50.0,46.542,88.003
ARG,Argentina,Very High,69.0,0.287,39.0,39.065,70.95140102,71.41679445,44.3768997,55.6231003,50.01,71.603
ARM,Armenia,High,53.0,0.216,26.0,18.511,96.00138092,97.05095673,33.64485981,66.35514019,42.663,63.004
ATG,Antigua and Barbuda,High,,,42.0,33.11,,,31.42857143,68.57142857,,
AUS,Australia,Very High,19.0,0.073,6.0,8.096,94.58006287,94.43006897,37.88546256,62.11453744,61.057,70.547
AUT,Austria,Very High,12.0,0.053,5.0,5.521,100.0,100.0,39.3442623,60.6557377,55.514,66.283
AZE,Azerbaijan,High,70.0,0.294,26.0,40.079,93.6227417,97.56490326,18.18181818,81.81818182,60.366,67.342
BDI,Burundi,Low,127.0,0.505,548.0,53.621,7.799910319,13.04688639,38.88888889,61.11111111,78.991,77.379
BEL,Belgium,Very High,10.0,0.048,5.0,5.33,87.21031952,89.70520782,42.85714286,57.14285714,49.842,58.812
BEN,Benin,Low,152.0,0.602,397.0,92.259,21.06531874,34.43517121,8.43373494,91.56626506,69.334,72.599
BFA,Burkina Faso,Low,157.0,0.621,320.0,110.509,11.28843615,17.11972185,6.299212598,93.7007874,57.237,72.725
BGD,Bangladesh,Medium,131.0,0.53,173.0,75.496,50.61270905,58.54695892,20.85714286,79.14285714,34.869,78.782
BGR,Bulgaria,High,52.0,0.21,10.0,38.605,94.88394165,96.54078674,23.75,76.25,49.143,62.636
BHR,Bahrain,Very High,46.0,0.181,14.0,8.676,79.90357208,83.08016205,18.75,81.25,42.361,83.531
BHS,Bahamas,Very High,78.0,0.329,70.0,25.686,86.99974025,89.93165835,20.0,80.0,65.627,71.486
BIH,Bosnia and Herzegovina,High,38.0,0.136,10.0,9.86,82.73858643,94.02471924,24.56140351,75.43859649,32.257,52.351
BLR,Belarus,Very High,29.0,0.104,2.0,11.85,97.47853851,99.02928162,34.70588235,65.29411765,57.311,71.387
BLZ,Belize,Medium,86.0,0.364,36.0,57.127,54.48728943,49.83901978,19.56521739,80.43478261,46.897,76.752
BOL,Bolivia (Plurinational State of),Medium,99.0,0.418,155.0,63.792,60.10496902,69.68730927,48.19277108,51.80722892,68.283,83.765
BRA,Brazil,High,94.0,0.39,60.0,45.2,62.44875545,59.09576637,14.81481481,85.18518519,49.11,68.24
BRB,Barbados,High,64.0,0.268,27.0,42.297,95.38591214,86.00105471,29.41176471,70.58823529,56.055,63.727
BRN,Brunei Darussalam,Very High,61.0,0.259,31.0,9.978,70.44,71.2,9.090909091,90.90909091,54.069,72.339
BTN,Bhutan,Medium,98.0,0.415,183.0,18.977,23.56883049,32.3101387,16.66666667,83.33333333,51.625,67.397
BWA,Botswana,Medium,117.0,0.468,144.0,49.324,91.28,91.78,10.76923077,89.23076923,56.282,65.148
CAF,Central African Republic,Low,166.0,0.672,829.0,160.507,13.94,31.56,12.85714286,87.14285714,63.312,79.486
CAN,Canada,Very High,17.0,0.069,10.0,6.978,100.0,100.0,34.41860465,65.58139535,60.801,69.741
CHE,Switzerland,Very High,3.0,0.018,5.0,2.212,96.8586731,97.53341675,39.83739837,60.16260163,61.728,72.705
CHL,Chile,Very High,47.0,0.187,13.0,24.082,80.2849261,83.47512015,32.68292683,67.31707317,44.172,65.547
CHN,China,High,48.0,0.192,29.0,11.048,78.28194698,85.35439944,24.94117647,75.05882353,61.612,74.29
CIV,Côte d'Ivoire,Medium,155.0,0.613,617.0,104.968,23.87971266,32.16237494,15.58073654,84.41926346,45.92,64.893
CMR,Cameroon,Medium,148.0,0.565,529.0,110.378,36.84196776,54.95841188,31.07142857,68.92857143,70.154,80.747
COD,Congo (Democratic Republic of the),Low,151.0,0.601,473.0,108.962,40.27580654,69.11574797,14.28571429,85.71428571,61.209,69.065
COG,Congo,Medium,147.0,0.564,378.0,103.633,47.98,51.98,13.63636364,86.36363636,65.062,67.605
COL,Colombia,High,102.0,0.424,83.0,59.034,58.85783005,56.54455185,19.63636364,80.36363636,52.182,77.998
COM,Comoros,Medium,,,273.0,58.173,,,16.66666667,83.33333333,32.119,54.534
CPV,Cabo Verde,Medium,84.0,0.349,58.0,55.228,28.77587928,31.23702564,38.88888889,61.11111111,46.91,61.705
CRI,Costa Rica,Very High,60.0,0.256,27.0,37.148,56.2360611,54.53149033,45.61403509,54.38596491,47.527,71.142
CUB,Cuba,High,73.0,0.303,36.0,48.82,89.50523473,91.93527564,53.41296928,46.58703072,40.285,68.454
CYP,Cyprus,Very High,35.0,0.123,6.0,6.827,81.13751221,84.81717682,14.28571429,85.71428571,56.648,68.766
CZE,Czechia,Very High,34.0,0.12,3.0,9.709,99.83693695,99.78072357,22.06405694,77.93594306,51.668,68.064
DEU,Germany,Very High,19.0,0.073,7.0,7.465,96.07321988,96.46214387,34.7826087,65.2173913,56.843,66.041
DJI,Djibouti,Low,,,248.0,22.722,,,26.15384615,73.84615385,17.218,44.147
DMA,Dominica,High,,,,38.49,,,34.375,65.625,,
DNK,Denmark,Very High,1.0,0.013,4.0,1.908,95.06726074,95.23809814,39.66480447,60.33519553,57.721,66.653
DOM,Dominican Republic,High,106.0,0.429,95.0,65.629,77.42735419,76.94311955,25.67567568,74.32432432,49.577,75.162
DZA,Algeria,High,126.0,0.499,112.0,11.714,46.04397589,56.92760312,7.481751825,92.51824818,15.684,64.48
ECU,Ecuador,High,85.0,0.362,59.0,63.163,53.01758957,52.00579071,39.41605839,60.58394161,53.344,76.519
EGY,Egypt,High,109.0,0.443,37.0,44.767,81.57427958,76.60529677,22.86995516,77.13004484,15.385,67.088
ERI,Eritrea,Low,,,480.0,64.356,,,22.0,78.0,70.183,83.622
ESP,Spain,Very High,14.0,0.057,4.0,6.281,78.534729,83.16280365,42.27642276,57.72357724,52.654,62.412
EST,Estonia,Very High,28.0,0.1,9.0,8.764,97.55341339,98.1432724,25.74257426,74.25742574,57.453,70.169
ETH,Ethiopia,Low,129.0,0.52,401.0,69.221,9.137025833,20.10887527,39.543058,60.456942,72.335,84.683
FIN,Finland,Very High,6.0,0.033,3.0,4.159,98.9862418,98.45397,46.0,54.0,56.46,64.029
FJI,Fiji,High,77.0,0.318,34.0,26.843,90.21557827,87.89150171,21.56862745,78.43137255,37.701,75.257
FRA,France,Very High,22.0,0.083,8.0,9.529,83.53661346,87.89122009,37.83783784,62.16216216,51.897,59.675
FSM,Micronesia (Federated States of),Medium,,,88.0,35.835,,,7.142857143,92.85714286,,
GAB,Gabon,High,140.0,0.541,252.0,91.176,67.2082324,83.98536007,18.66028708,81.33971292,39.117,57.012
GBR,United Kingdom,Very High,27.0,0.098,7.0,10.541,99.80036926,99.80490875,31.08013937,68.91986063,58.044,67.091
GEO,Georgia,Very High,66.0,0.28,25.0,31.654,97.14543915,98.2853775,19.33333333,80.66666667,50.995,68.03
GHA,Ghana,Medium,130.0,0.529,308.0,64.176,57.9802799,73.21096064,14.54545455,85.45454545,64.527,72.234
GIN,Guinea,Low,157.0,0.621,576.0,114.829,7.151153164,19.66277119,16.66666667,83.33333333,62.061,62.188
GMB,Gambia,Low,153.0,0.611,597.0,63.188,29.91536713,43.19478226,8.620689655,91.37931034,48.917,66.259
GNB,Guinea-Bissau,Low,159.0,0.627,667.0,87.537,9.798909187,22.79538155,13.7254902,86.2745098,63.868,78.373
GNQ,Equatorial Guinea,Medium,,,301.0,139.706,,,20.34883721,79.65116279,49.926,58.483
GRC,Greece,Very High,32.0,0.119,3.0,8.479,69.86016083,77.78988647,21.66666667,78.33333333,43.297,58.108
GRD,Grenada,High,,,25.0,32.72,,,32.14285714,67.85714286,,
GTM,Guatemala,Medium,121.0,0.481,95.0,64.054,29.45459938,35.83335876,19.375,80.625,37.363,80.268
GUY,Guyana,High,114.0,0.454,169.0,66.556,69.5281601,62.23261261,35.71428571,64.28571429,40.304,64.097
HKG,"Hong Kong, China (SAR)",Very High,,,,1.584,77.10043335,83.36814117,,,53.524,65.771
HND,Honduras,Medium,107.0,0.431,65.0,71.972,35.84704971,44.83575058,27.34375,72.65625,42.33,78.94
HRV,Croatia,Very High,26.0,0.093,8.0,8.637,96.9785849,100.0,31.12582781,68.87417219,45.925,58.751
HTI,Haiti,Low,163.0,0.635,480.0,52.545,27.94,40.96,2.739726027,97.26027397,60.686,68.93
HUN,Hungary,Very High,55.0,0.221,12.0,22.148,97.61313629,98.82952881,13.06532663,86.93467337,52.064,67.21
IDN,Indonesia,High,110.0,0.444,177.0,33.929,51.00518036,58.21279907,21.04347826,78.95652174,53.704,81.668
IND,India,Medium,122.0,0.49,133.0,17.234,41.82268012,53.83470565,13.44430218,86.55569782,19.233,70.092
IRL,Ireland,Very High,21.0,0.074,5.0,5.941,88.12758125,85.95681296,27.27272727,72.72727273,56.526,68.573
IRN,Iran (Islamic Republic of),High,115.0,0.459,16.0,30.155,71.59315863,75.97091206,5.594405594,94.40559441,14.354,68.086
IRQ,Iraq,Medium,145.0,0.558,79.0,62.192,42.03605395,52.86165844,28.87537994,71.12462006,11.078,71.763
ISL,Iceland,Very High,8.0,0.043,4.0,5.395,99.76841736,99.66255188,47.61904762,52.38095238,61.671,70.463
ISR,Israel,Very High,22.0,0.083,3.0,7.614,91.55364866,93.70608839,28.33333333,71.66666667,58.518,66.075
ITA,Italy,Very High,13.0,0.056,2.0,3.993,78.6272583,86.09230804,35.26315789,64.73684211,39.89,57.592
JAM,Jamaica,High,80.0,0.335,80.0,32.764,74.33101903,66.38198168,30.95238095,69.04761905,56.095,70.003
JOR,Jordan,High,118.0,0.471,46.0,25.369,77.37870026,84.21157074,11.79487179,88.20512821,13.469,62.322
JPN,Japan,Very High,22.0,0.083,5.0,2.903,95.86,92.72,14.24541608,85.75458392,53.3,71.031
KAZ,Kazakhstan,Very High,41.0,0.161,10.0,21.877,99.82169344,99.98009664,24.51612903,75.48387097,63.27,75.518
KEN,Kenya,Medium,128.0,0.506,342.0,64.185,31.07780546,37.66723653,23.24455206,76.75544794,70.984,75.564
KGZ,Kyrgyzstan,Medium,87.0,0.37,60.0,34.697,100.0,99.80193376,20.45454545,79.54545455,42.141,71.67
KHM,Cambodia,Medium,116.0,0.461,160.0,45.453,18.32,31.7,19.78609626,80.21390374,73.96,85.918
KIR,Kiribati,Medium,,,92.0,40.477,,,6.666666667,93.33333333,,
KNA,Saint Kitts and Nevis,High,,,,38.154,,,25.0,75.0,,
