id,country,HDI Code,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021
AFG,Afghanistan,Low,1999.653042,2125.862821,2193.553936,2178.507021,2101.589319,2077.566899,2085.487571,2054.939895,2097.88945,1997.852149,1824.190915
AGO,Angola,Medium,6885.53639,7280.845666,7478.104777,7704.231949,7652.656486,7189.426672,6861.575738,6381.521946,6082.746624,5593.14206,5465.617791
ALB,Albania,High,11056.64517,11146.26303,11552.98247,11691.64829,12016.2976,12484.6242,12802.14831,13302.70596,13485.31124,12996.76291,14131.11039
AND,Andorra,Very High,48812.02903,47126.81461,46385.0952,48483.72032,49936.87454,52267.73832,52650.22576,53483.30663,54465.0474,47878.66664,51166.62661
ARE,United Arab Emirates,Very High,56152.06467,57445.95475,60005.69536,62573.50531,65577.51224,66881.32974,67667.50846,67195.09523,68590.90094,63016.40122,62573.59181
ARG,Argentina,Very High,23944.3551,23557.51314,23915.41972,23087.86964,23508.76738,22694.2851,22996.67142,21924.73119,21197.74104,19178.33184,20925.26814
ARM,Armenia,High,10072.89566,10830.55372,11351.53875,11518.60475,11774.34934,11570.46772,12541.16263,12933.83405,13847.90825,12454.14508,13157.9939
ATG,Antigua and Barbuda,High,16539.63424,16745.79664,16722.97555,17119.31079,17679.66135,18421.76805,18775.95101,19857.12506,20600.95888,16265.29515,16792.36595
AUS,Australia,Very High,44205.31566,44878.41764,45260.60917,45851.64201,46307.57617,46558.17827,47085.22714,47487.64407,47312.192,47078.24446,49238.43335
AUT,Austria,Very High,53124.04133,52887.1943,52625.83517,52720.29769,52450.23877,53662.57417,53665.02668,54587.74445,55323.03915,51574.18306,53618.67138
AZE,Azerbaijan,High,12980.47536,13262.756,13958.10444,14481.31337,14405.94934,13401.18041,13587.53119,13502.96367,13838.46183,13567.9371,14256.74456
BDI,Burundi,Low,846.0294333,860.4779094,878.1187171,884.172209,824.8696219,794.5204667,772.4022889,763.4331718,753.9089436,735.7371044,731.7867086
BEL,Belgium,Very High,47497.60421,48583.46685,48783.26894,49281.30405,50027.9913,50509.14666,50904.68909,51249.2268,52434.09838,49391.99684,52293.39977
BEN,Benin,Low,2704.030136,2743.557061,2861.120591,2962.296501,2922.065347,2935.45155,3010.902854,3128.748762,3254.245627,3288.470605,3408.965923
BFA,Burkina Faso,Low,1705.359774,1788.801284,1834.881492,1827.353699,1839.270697,1893.155373,1967.634052,2050.921164,2055.318806,2038.513202,2117.915916
BGD,Bangladesh,Medium,3273.90474,3462.220186,3614.372724,3742.516573,3936.276588,4142.902911,4339.489843,4642.820099,4964.471473,5108.160545,5472.104781
BGR,Bulgaria,High,18481.03764,19080.57753,18915.57655,19464.43982,19798.96986,20532.41676,20986.65463,21585.23735,22731.96643,22020.49393,23078.95595
BHR,Bahrain,Very High,37755.99605,43372.15056,44935.818,45615.58247,45441.14762,45331.79071,45033.83054,43818.92053,42664.29218,39030.38571,39497.24788
BHS,Bahamas,Very High,35756.02322,36161.31277,34438.39196,34482.273,34554.60314,34055.54939,34332.57146,34103.97568,34676.98987,29190.8387,30486.18429
BIH,Bosnia and Herzegovina,High,11267.26683,11345.89492,11878.91698,12166.00844,12719.39655,13215.3302,13638.41935,14303.17629,14849.1165,14381.63676,15241.91465
BLR,Belarus,Very High,17880.6942,18187.94372,18128.3195,18522.02546,17544.19914,17070.03342,17666.60161,18282.24546,18702.53072,18307.70473,18848.96704
BLZ,Belize,Medium,6807.410431,6727.632762,6677.827034,6746.986802,6960.046024,6766.32689,6709.03456,6699.038968,6676.34074,5897.150457,6309.099778
BOL,Bolivia (Plurinational State of),Medium,6535.789314,6608.287066,6937.038027,7313.415069,7718.194007,8056.443085,8174.492977,8443.883853,8542.603358,7756.177294,8111.190194
BRA,Brazil,High,14925.8874,15088.3882,15584.11902,15454.76924,14780.05656,14143.48937,14253.07502,14258.48421,14367.23924,13790.71143,14369.88848
BRB,Barbados,High,14444.82048,14760.85576,14453.26863,14407.77446,14687.44585,15022.36929,15079.36912,14963.39,14919.56235,12167.22012,12306.341
BRN,Brunei Darussalam,Very High,67386.7062,67317.78769,66079.80508,64338.12601,66409.2109,65044.6337,64617.63812,60975.67907,63963.47538,65077.71446,64489.53954
BTN,Bhutan,Medium,8178.915986,8355.435085,8517.974126,8895.679604,9370.597632,9850.590693,10174.70961,10329.65877,10791.66865,9898.25027,9437.541512
BWA,Botswana,Medium,13459.90702,13995.38295,15007.46945,16148.37428,15177.91893,15856.54951,16144.88027,16285.69632,16308.08799,14696.02701,16198.31841
CAF,Central African Republic,Low,1259.221163,1317.845192,839.1221207,837.6309621,869.8259183,903.077833,959.3100891,1001.711793,1017.123239,974.4816457,966.0586107
CAN,Canada,Very High,45969.25364,46117.10158,46909.89758,47500.43097,46417.51312,46340.41847,47702.63749,48156.0,48464.81227,45038.07302,46807.98619
CHE,Switzerland,Very High,68805.06719,69805.01371,69539.14942,69019.26094,70410.26815,68993.42475,68167.80327,67771.6548,68432.68312,65011.21711,66933.00454
CHL,Chile,Very High,20732.94409,22097.83875,22815.82741,23261.50787,23730.28359,23781.35546,23458.6445,23908.86388,24077.24668,22285.86026,24563.24486
CHN,China,High,9589.872363,10346.76891,11012.37325,11866.35433,12552.18518,13332.38637,14224.86876,15067.74081,15933.50035,16201.35297,17504.39969
CIV,Côte d'Ivoire,Medium,2505.976647,2667.825058,2843.258121,4150.413316,4322.056408,4512.459543,4686.900473,4839.893305,5074.644595,5026.387169,5217.448516
CMR,Cameroon,Medium,3211.002,3252.776182,3310.463486,3443.009493,3522.297048,3574.466975,3597.973425,3642.735667,3661.937532,3586.252712,3620.932408
COD,Congo (Democratic Republic of the),Low,847.5357676,870.2847181,875.3660951,931.7848699,982.6495957,1034.917766,1029.883308,1057.24868,1064.472827,1050.778706,1076.098781
COG,Congo,Medium,4475.862804,5053.148534,5077.679948,5507.312883,5080.41431,4304.605561,3639.791356,3264.475827,2974.265175,2966.269817,2889.283521
COL,Colombia,High,11930.28232,12344.80859,12902.5132,13432.16118,13901.52184,14044.84239,13912.22581,13941.33097,14240.59041,13184.95894,14384.35666
COM,Comoros,Medium,2921.369471,2940.241995,3004.90976,2999.136448,2970.772257,3003.504354,3049.006179,3062.31206,3099.801214,3156.041454,3142.064119
CPV,Cabo Verde,Medium,6119.907189,6087.399757,6106.201391,5970.961186,6035.221038,6250.87307,6413.999141,6701.611822,7017.10024,5897.676779,6230.200199
CRI,Costa Rica,Very High,16811.46478,17457.3481,17594.06705,17919.03127,18327.60822,18902.33613,19283.51036,19562.35999,19684.85681,18753.91088,19974.27358
CUB,Cuba,High,7394.688924,7617.849884,7822.470876,7878.597597,8217.14833,8241.72571,8388.369,8573.741653,8748.733509,7809.171181,7878.847482
CYP,Cyprus,Very High,38482.67954,35413.63337,33007.80248,32270.91228,34243.04912,35044.10672,37163.37655,38543.68022,39568.03192,36519.29668,38188.42152
CZE,Czechia,Very High,30812.07437,30967.18755,31223.31804,32119.85559,33841.91996,34856.11653,36626.68558,37668.16678,38505.63917,37551.07049,38745.21386
DEU,Germany,Very High,50108.04686,50123.5299,50314.54101,51268.8727,52200.62642,53349.82314,54335.96281,54981.27749,55564.96736,53077.54364,54534.21682
DJI,Djibouti,Low,3423.743208,3807.416605,3984.464639,4205.491821,4453.630735,4561.666499,4660.30902,4981.659056,4916.643954,4901.144274,5024.993944
DMA,Dominica,High,12236.06264,12114.5372,11997.30479,12533.22462,11929.38956,12361.6883,11060.97853,12211.41123,12694.12057,11133.41849,11487.62422
DNK,Denmark,Very High,51652.6725,51814.35144,52812.58307,53998.28993,54690.48924,55471.41408,56568.41589,57549.14584,58650.26154,58143.77306,60364.78595
DOM,Dominican Republic,High,12529.5448,12707.22497,13067.09635,13814.06229,14694.1036,15462.20861,15941.67145,16958.43305,17572.69314,16164.89952,17989.60037
DZA,Algeria,High,10945.42525,11066.79725,11077.58045,11242.29072,11421.66895,11707.07707,11562.26587,11344.17458,11241.86472,10530.29914,10800.22546
ECU,Ecuador,High,10814.2554,11255.83603,11633.97078,11887.546,11685.75729,11334.76401,11346.37257,11242.31215,11034.20422,10031.66906,10311.63273
EGY,Egypt,High,10031.42871,10055.57658,10016.17801,10099.75288,10382.27283,10646.46932,10801.02662,11079.03334,11335.87708,11581.07981,11731.69056
ERI,Eritrea,Low,1761.437803,1774.709504,1573.960206,2042.185269,1605.846784,1707.304054,1519.965541,1698.200078,1740.988576,1706.02641,1728.742667
ESP,Spain,Very High,36262.31549,35416.02265,35204.72455,35796.00345,37383.58643,38616.27705,39543.65687,40234.64314,40725.59088,36515.96007,38353.60164
EST,Estonia,Very High,25900.41923,27110.35149,28361.78899,29532.96608,30361.38783,31594.42466,33040.70655,34552.40442,35879.58776,35131.82128,38048.26372
ETH,Ethiopia,Low,1358.033249,1434.245449,1541.762481,1652.126111,1771.947958,1888.608252,2009.557746,2093.520321,2204.805408,2279.637186,2361.069604
FIN,Finland,Very High,46338.34586,45340.26397,44871.50214,45016.4823,45628.12268,46502.46698,47593.88701,48369.87096,48901.80936,47946.32854,49452.16672
FJI,Fiji,High,10425.71399,10486.08722,11174.36971,11465.92201,11790.47851,12105.32007,12367.93824,12916.60463,12526.24293,10452.22264,9980.110866
FRA,France,Very High,43324.1221,43009.1157,43213.27903,43562.21508,44323.97472,44814.41572,45584.57087,46162.6579,46963.19576,43047.83087,45937.05273
