iso3,country,region,HDI_Code,HDI_Rank,Human Development Index 2021,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita
AFG,Afghanistan,SA,Low,180.0,0.478,61.9824,10.26384398,2.98506999,1824.190915
AGO,Angola,SSA,Medium,148.0,0.586,61.6434,12.1721,5.417390823,5465.617791
ALB,Albania,ECA,High,67.0,0.796,76.4626,14.44799995,11.28645502,14131.11039
AND,Andorra,,Very High,40.0,0.858,80.3684,13.30023874,10.55511952,51166.62661
ARE,United Arab Emirates,AS,Very High,26.0,0.911,78.7104,15.71769047,12.69402981,62573.59181
ARG,Argentina,LAC,Very High,47.0,0.842,75.3899,17.8748703,11.14726927,20925.26814
ARM,Armenia,ECA,High,85.0,0.759,72.0431,13.11676025,11.33030033,13157.9939
ATG,Antigua and Barbuda,LAC,High,71.0,0.788,78.4968,14.18462641,9.293740746,16792.36595
AUS,Australia,,Very High,5.0,0.951,84.5265,21.05459023,12.72681999,49238.43335
AUT,Austria,,Very High,25.0,0.916,81.5797,16.00795937,12.25669003,53618.67138
AZE,Azerbaijan,ECA,High,91.0,0.745,69.3658,13.49689007,10.5429697,14256.74456
BDI,Burundi,SSA,Low,187.0,0.426,61.6627,10.72272189,3.129266883,731.7867086
BEL,Belgium,,Very High,13.0,0.937,81.8787,19.60421944,12.37567997,52293.39977
BEN,Benin,SSA,Low,166.0,0.525,59.821,10.76667976,4.304786445,3408.965923
BFA,Burkina Faso,SSA,Low,184.0,0.449,59.2696,9.142100334,2.114962259,2117.915916
BGD,Bangladesh,SA,Medium,129.0,0.661,72.3811,12.44198036,7.379059792,5472.104781
BGR,Bulgaria,,High,68.0,0.795,71.798,13.89729023,11.41318035,23078.95595
BHR,Bahrain,AS,Very High,35.0,0.875,78.7605,16.29755974,11.04658985,39497.24788
BHS,Bahamas,LAC,Very High,55.0,0.812,71.5983,12.89945,12.64192386,30486.18429
BIH,Bosnia and Herzegovina,ECA,High,74.0,0.78,75.3003,13.8,10.53631973,15241.91465
BLR,Belarus,ECA,Very High,60.0,0.808,72.438,15.16996956,12.14358044,18848.96704
BLZ,Belize,LAC,Medium,123.0,0.683,70.4697,12.99168968,8.847599983,6309.099778
BOL,Bolivia (Plurinational State of),LAC,Medium,118.0,0.692,63.6304,14.94697094,9.827750206,8111.190194
BRA,Brazil,LAC,High,87.0,0.754,72.7504,15.59906006,8.128813955,14369.88848
BRB,Barbados,LAC,High,70.0,0.79,77.5714,15.71338458,9.852700596,12306.341
BRN,Brunei Darussalam,EAP,Very High,51.0,0.829,74.6424,13.95178032,9.18,64489.53954
BTN,Bhutan,SA,Medium,127.0,0.666,71.815,13.22500478,5.170262283,9437.541512
BWA,Botswana,SSA,Medium,117.0,0.693,61.1409,12.26513765,10.34,16198.31841
CAF,Central African Republic,SSA,Low,188.0,0.404,53.8947,8.040171714,4.334,966.0586107
CAN,Canada,,Very High,15.0,0.936,82.6565,16.39625931,13.83442722,46807.98619
CHE,Switzerland,,Very High,1.0,0.962,83.9872,16.50029945,13.85966015,66933.00454
CHL,Chile,LAC,Very High,42.0,0.855,78.9435,16.73130035,10.9349663,24563.24486
CHN,China,EAP,High,79.0,0.768,78.2107,14.2361149,7.600118446,17504.39969
CIV,Côte d'Ivoire,SSA,Medium,159.0,0.55,58.5983,10.67558002,5.199138977,5217.448516
CMR,Cameroon,SSA,Medium,151.0,0.576,60.3334,13.10859922,6.15131,3620.932408
COD,Congo (Democratic Republic of the),SSA,Low,179.0,0.479,59.193,9.817864451,7.018696516,1076.098781
COG,Congo,SSA,Medium,153.0,0.571,63.5187,12.33081527,6.166,2889.283521
COL,Colombia,LAC,High,88.0,0.752,72.8296,14.44274998,8.862859726,14384.35666
COM,Comoros,SSA,Medium,156.0,0.558,63.4174,11.92432393,5.078649,3142.064119
