id,country,GDI Group,Gender Development Index (value),HDI female,"Life Expectancy at Birth, female (years)","Expected Years of Schooling, female (years)","Mean Years of Schooling, female (years)","Gross National Income Per Capita, female (2017 PPP$)",HDI male,"Life Expectancy at Birth, male (years)","Expected Years of Schooling, male (years)","Mean Years of Schooling, male (years)","Gross National Income Per Capita, male (2017 PPP$)"
AFG,Afghanistan,5.0,0.681,0.36484023,65.2791,7.736391273,2.311079979,532.9553682,0.535610873,58.9147,12.67218933,3.401309967,3089.270418
AGO,Angola,4.0,0.903,0.556745058,64.3066,11.5409,4.183875561,4751.373256,0.616557703,59.0291,12.9132,6.894268513,6196.650485
ALB,Albania,1.0,1.007,0.799221622,79.1726,15.31414032,11.68443326,11637.21567,0.793604613,74.0869,13.65186977,10.92069549,16629.90211
AND,Andorra,,,,84.3238,,10.48113913,,,77.1723,,10.62797735,
ARE,United Arab Emirates,2.0,0.953,0.87713227,80.9371,16.53561974,12.52534008,28921.14482,0.920631429,77.2164,15.20983028,12.80508041,77317.68017
ARG,Argentina,1.0,0.997,0.833324995,78.6471,19.23380089,11.35364528,15580.71571,0.835521148,72.1818,16.55146027,10.90602315,26376.42505
ARM,Armenia,1.0,1.001,0.756949514,77.35,13.81657982,11.32151985,8736.263849,0.756110563,66.5544,12.52400017,11.34119034,18557.94799
ATG,Antigua and Barbuda,,,,80.9411,15.20951739,,,,75.7753,13.19281252,,
AUS,Australia,2.0,0.968,0.93167223,85.8396,21.81757927,12.81058979,37485.5883,0.962956483,83.1718,20.30187988,12.63971043,61160.79011
AUT,Austria,1.0,0.98,0.905682295,84.084,16.39508057,11.97801018,43413.88736,0.923877356,79.0433,15.64367962,12.55373955,64148.48737
AZE,Azerbaijan,2.0,0.974,0.733874991,73.2871,13.63412952,10.2091198,10536.01593,0.753249711,65.6458,13.37728024,10.90130997,18075.8323
BDI,Burundi,3.0,0.935,0.412236237,63.6092,10.91547198,2.491789031,667.5207678,0.440934982,59.7112,10.53523917,3.851800592,796.9564563
BEL,Belgium,1.0,0.978,0.925048073,84.2957,20.70512962,12.31939983,42532.93431,0.946127575,79.4344,18.53882027,12.43480968,62295.08289
BEN,Benin,5.0,0.88,0.491304048,61.4449,9.893950462,3.315197468,2997.705686,0.558101711,58.2208,11.62110043,5.44505428,3818.802984
BFA,Burkina Faso,4.0,0.903,0.425128833,60.9896,9.109199524,1.583301027,1659.234852,0.470559026,57.4745,9.17743969,2.704233799,2579.899962
BGD,Bangladesh,5.0,0.898,0.61737477,74.2672,13.00008011,6.755380154,2811.243422,0.687568946,70.5989,11.90853977,8.020810127,8176.050077
BGR,Bulgaria,1.0,0.995,0.792403351,75.4824,14.17173004,11.50780964,18109.38936,0.796486006,68.435,13.64058971,11.30865955,28356.81512
