id,country,HDI Code,mys_2011,mys_2012,mys_2013,mys_2014,mys_2015,mys_2016,mys_2017,mys_2018,mys_2019,mys_2020,mys_2021
AFG,Afghanistan,Low,2.157332242,2.209473202,2.261614163,2.313755123,2.365896084,2.463660385,2.561424686,2.659188987,2.756953288,2.854717589,2.98506999
AGO,Angola,Medium,3.86911836,3.909642238,3.950166115,3.990689993,4.704040408,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823,5.417390823
ALB,Albania,High,9.801699638,10.02511024,10.19628076,10.37037387,10.54743948,10.72752833,10.91069206,11.09698316,11.28645502,11.28645502,11.28645502
AND,Andorra,Very High,10.55810738,10.58708477,10.61606216,10.64503956,10.57328033,10.55609989,10.55577309,10.5554463,10.55511952,10.55511952,10.55511952
ARE,United Arab Emirates,Very High,10.00180166,10.16996531,10.33812896,10.5062926,10.67445625,10.8426199,12.05539989,12.48400021,12.69402981,12.69402981,12.69402981
ARG,Argentina,Very High,10.69979,10.78507042,10.89459991,10.90851021,10.91755009,10.92819023,11.01644516,11.10470009,11.14726927,11.14726927,11.14726927
ARM,Armenia,High,11.19454956,11.28896475,11.38337994,11.47779512,11.57221031,11.37989998,11.18758965,11.23515987,11.2827301,11.33030033,11.33030033
ATG,Antigua and Barbuda,High,8.99,9.03495,9.08012475,9.125525374,9.171153001,9.217008766,9.263093809,9.293740746,9.293740746,9.293740746,9.293740746
AUS,Australia,Very High,12.11583996,12.29574013,12.01885986,12.16699982,12.2456398,12.35210991,12.42234039,12.55362034,12.65668964,12.72681999,12.72681999
AUT,Austria,Very High,11.71115017,11.75162983,11.78754044,12.01449966,12.07699013,12.11466026,12.15911961,12.20790482,12.25669003,12.25669003,12.25669003
AZE,Azerbaijan,High,10.4671402,10.47150993,10.47587967,10.47768021,10.47585011,10.55539989,10.54459953,10.54176044,10.5429697,10.5429697,10.5429697
BDI,Burundi,Low,2.226104975,2.159226656,2.092348337,2.025470018,2.285303354,2.54513669,2.804970026,2.962684561,3.129266883,3.129266883,3.129266883
